File Path,Container,Video Codec,Resolution,File Size (MB),Audio Codec,Audio Channels
"/pool/Movies/Kinds of Kindness (2024)/Kinds of Kindness (2024) WEBRip-1080p 1029955.mkv",mkv,hevc,1920x804,3914,eac3,6
"/pool/Movies/Shooting Stars (2023)/Shooting Stars (2023) WEBRip-1080p 970284.mkv",mkv,hevc,1920x1080,2343,ac3,6
"/pool/Movies/Kiki's Delivery Service (1989)/Kiki's Delivery Service (1989) [1080p x265 HEVC 10bit BluRay Dual Audio AAC] [Prof].mkv",mkv,hevc,1920x1040,4234,aac,2
"/pool/Movies/Escape from L.A. (1996)/Escape from L.A. (1996) Bluray-1080p 10061.mkv",mkv,hevc,1920x816,5401,aac,6
"/pool/Movies/The Age of Adaline (2015)/The Age of Adaline (2015) Bluray-1080p 293863.mkv",mkv,hevc,1920x800,1836,aac,6
"/pool/Movies/Angel Heart (1987)/Angel Heart (1987) Bluray-1080p 635.mkv",mkv,hevc,1920x1036,6699,ac3,2
"/pool/Movies/Boyhood (2014)/Boyhood (2014) Bluray-1080p 85350.mkv",mkv,hevc,1920x1040,3662,ac3,6
"/pool/Movies/Nirvana Unplugged In New York (1993)/Nirvana Unplugged In New York (1993) SDTV 18942.avi",avi,mpeg4,704x544,2041,ac3,6
"/pool/Movies/The Sky Is Everywhere (2022)/The.Sky.Is.Everywhere.2022.1080p.WEBRip.x265-RARBG.mp4",mp4,hevc,1920x914,1649,aac,6
"/pool/Movies/Dredd (2012)/Dredd 2012 BR EAC3 VFF VFQ ENG 1080p x265 10Bits T0M.mkv",mkv,hevc,1920x800,4317,eac3,6
"/pool/Movies/Ghostbusters II (1989)/Ghostbusters II (1989) Bluray-1080p 2978.mkv",mkv,hevc,1920x800,5096,aac,6
"/pool/Movies/Companion (2025)/Companion (2025) Bluray-1080p 1084199.mkv",mkv,hevc,1920x800,4762,eac3,8
"/pool/Movies/The Thing (2011)/The Thing (2011) Bluray-1080p 60935.mkv",mkv,hevc,1920x790,6014,ac3,6
"/pool/Movies/Mars Express (2023)/Mars Express (2023) WEBRip-1080p 586810.mkv",mkv,av1,1920x960,822,opus,6
"/pool/Movies/Alita Battle Angel (2019)/Alita Battle Angel (2019) Bluray-1080p 399579.mkv",mkv,hevc,1920x800,5179,aac,8
"/pool/Movies/I Saw the Devil (2010)/I.Saw.The.Devil.2010.Korean.720p.BRrip.x265.HEVC.10bit.HDR.PoOlLa.mkv",mkv,hevc,1280x688,675,vorbis,2
"/pool/Movies/My Neighbor Totoro (1988)/My Neighbor Totoro (1988) Bluray-1080p 8392.mkv",mkv,hevc,1920x1040,3732,eac3,2
"/pool/Movies/Kill Bill Vol. 2 (2004)/Kill Bill Vol. 2 (2004) Bluray-1080p 393.mkv",mkv,hevc,1920x1080,6982,flac,6
"/pool/Movies/Thor Love and Thunder (2022)/Thor.Love.and.Thunder.2022.IMAX.1080p.WEBRip.x265-RBG.mp4",mp4,hevc,1920x1012,1893,aac,6
"/pool/Movies/Dual (2022)/Dual (2022) Bluray-1080p 698128.mkv",mkv,hevc,1920x1080,2670,eac3,6
"/pool/Movies/Thunderbolts- (2025)/Thunderbolts- (2025) Bluray-1080p 986056.mkv",mkv,hevc,1920x804,6480,eac3,6
"/pool/Movies/Donnie Darko (2001)/Donnie Darko (2001) Bluray-1080p 141.mkv",mkv,hevc,1920x816,7925,ac3,6
"/pool/Movies/The Secret World of Arrietty (2010)/The Secret World of Arrietty (2010) [1080p x265 HEVC 10bit BluRay Dual Audio AAC 5.1] [Prof].mkv",mkv,hevc,1920x1024,4146,aac,6
"/pool/Movies/The To Do List (2013)/The To Do List (2013) Bluray-1080p 129139.mkv",mkv,hevc,1920x1080,4699,aac,6
"/pool/Movies/The Secret Life of Walter Mitty (2013)/The.Secret.Life.of.Walter.Mitty.2013.1080p_HEVCCLUB.mkv",mkv,hevc,1920x800,7549,dts,6
"/pool/Movies/Summer of Sam (1999)/Summer of Sam (1999) Bluray-1080p 10279.mkv",mkv,hevc,1920x1036,8177,dts,6
"/pool/Movies/The Godfather Part III (1990)/The Godfather Part III (1990) Bluray-1080p 242.mkv",mkv,av1,1912x1080,5694,opus,6
"/pool/Movies/Janet Planet (2023)/Janet Planet (2024) WEBRip-1080p 1037035.mp4",mp4,hevc,1792x1080,2212,aac,6
"/pool/Movies/Equilibrium (2002)/Equilibrium 2002 BR EAC3 VFF VFQ ENG 1080p x265 10Bits T0M.mkv",mkv,hevc,1920x820,3988,eac3,6
"/pool/Movies/Misery (1990)/Misery (1990) (1080p BluRay50 x265 HEVC 10bit AAC 5.1 Silence).mkv",mkv,hevc,1920x1032,4233,aac,6
